REPOSITORY                                                    TAG                         IMAGE ID       CREATED         SIZE
localstack/localstack-docker-desktop                          2026.3.0                    7237925ca522   2 months ago    304MB
rw4lll/openwebui-docker-extension                             0.3.0                       1d8c4cb5d1cf   2 months ago    14.4MB
ghcr.io/github/github-mcp-server                              <none>                      a9dd39eec67f   2 months ago    69.2MB
localstack/localstack-docker-desktop                          0.5.9                       d5439adfaa0d   3 months ago    385MB
mcp/dockerhub                                                 <none>                      693a03d63875   4 months ago    465MB
alpine                                                        3.20                        a4f4213abb84   4 months ago    25.8MB
alpine                                                        latest                      51183f2cfa63   6 months ago    13.6MB
mcp/docker                                                    latest                      1e7a17b0a660   10 months ago   258MB
mcp/openapi-schema                                            latest                      5da1c1870748   11 months ago   203MB
mcp/github                                                    <none>                      89fd71b6f2dd   11 months ago   251MB
mcp/context7                                                  latest                      1174e6a29634   11 months ago   338MB
mcp/sequentialthinking                                        <none>                      cd3174b2ecf3   13 months ago   176MB
mcp/memory                                                    latest                      db0c2db07a44   13 months ago   174MB
